,Unnamed: 0,team_id,player_Fname,player_Lname,salary,player_id,lahmanID,retroID,bbrefID
0,0,1,Wilson,Contreras,7,,[],[],[]
1,1,1,Luke,Voit,6,,['voitlu01'],['voitl001'],['voitlu01']
2,2,1,DJ,LeMahieu,10,,['lemahdj01'],['lemad001'],['lemahdj01']
3,3,1,Matt,Chapman,7,,['chapmma01'],['chapm001'],['chapmma01']
4,4,1,Jean,Segura,7,,['segurje01'],['seguj002'],['segurje01']
5,5,1,Mookie,Betts,45,,['bettsmo01'],['bettm001'],['bettsmo01']
6,6,1,Christian,Yelich,11,,['yelicch01'],['yelic001'],['yelicch01']
7,7,1,Austin,Hays,6,,['haysau01'],['haysa001'],['haysau01']
8,8,1,David,Peralta,6,,['peralda01'],['perad001'],['peralda01']
9,9,1,J.A.,Happ,9,,[],[],[]
10,10,1,Rick,Porcello,7,,['porceri01'],['porcr001'],['porceri01']
11,11,1,Sean,Newcomb,8,,['newcose01'],['newcs001'],['newcose01']
12,12,1,Zach,Eflin,6,,['eflinza01'],['efliz001'],['eflinza01']
13,13,1,Cody,Allen,2,,['allenco01'],['allec002'],['allenco01']
14,14,1,Kenley,Jansen,7,,['janseke01'],['jansk001'],['janseke01']
15,15,1,Astrubel,Cabrara,6,,[],[],[]
16,16,1,Scott,Kingery,6,,['kingesc01'],['kings001'],['kingesc01']
17,17,1,Trey,Mancini,1,,['mancitr01'],['manct001'],['mancitr01']
18,18,1,Marcus,Stroman,7,,['stromma01'],['strom001'],['stromma01']
19,19,1,Isiah,Kiner-Falefa,9,,['kineris01'],['kinei001'],['kineris01']
20,20,1,Dane,Dunning,1,,[],[],[]
21,21,1,Andrew,Miller,7,,['millean01'],['milla002'],['millean01']
22,22,1,Hunter,Dozier,1,,['doziehu01'],['dozih001'],['doziehu01']
23,23,1,Dellin,Betances,6,,['betande01'],['betad001'],['betande01']
24,24,1,Luis,Severino,7,,['severlu01'],['sevel001'],['severlu01']
25,25,2,Kurt,Suzuki,2,,['suzukku01'],['suzuk001'],['suzukku01']
26,26,2,Joey,Votto,2,,['vottojo01'],['vottj001'],['vottojo01']
27,27,2,Eduardo,Nunez,2,,['nunezed02'],['nunee002'],['nunezed02']
28,28,2,Eugenio,Suarez,2,,['suareeu01'],['suare001'],['suareeu01']
29,29,2,Elvis,Andrus,2,,['andruel01'],['andre001'],['andruel01']
30,30,2,Scott,Schebler,2,,['schebsc01'],['sches001'],['schebsc01']
31,31,2,Starling,Marte,2,,['martest01'],['marts002'],['martest01']
32,32,2,Michael,Brantley,2,,['brantmi02'],['branm003'],['brantmi02']
33,33,2,Hunter,Renfroe,2,,['renfrhu01'],['renfh001'],['renfrhu01']
34,34,2,Eduardo,Rodriguez,2,,['rodried05'],['rodre004'],['rodried05']
35,35,2,Joe,Musgrove,2,,['musgrjo01'],['musgj001'],['musgrjo01']
36,36,2,Jhoulys,Chacin,1,,['chacijh01'],['chacj001'],['chacijh01']
37,37,2,Charlie,Morton,2,,['mortoch02'],['mortc002'],['mortoch02']
