,Name,Age,#days,Lev,Tm,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS
1,Jose Abreu,32,0,MLB-AL,Chicago,135,583,539,68,153,32,0,28,103,28,3,125,9,0,7,20,2,2,0.284,0.326,0.499,0.825
2,Ronald Acuna Jr.,21,0,MLB-NL,Atlanta,137,633,556,109,158,19,1,36,92,64,3,160,9,0,1,7,33,7,0.284,0.36700000000000005,0.516,0.883
3,Willy Adames,23,0,MLB-AL,Tampa Bay,129,505,460,58,115,20,1,17,42,39,1,137,3,3,0,8,4,2,0.25,0.313,0.409,0.721
4,Austin Adams,28,68,MLB-AL,Seattle,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0
5,Matt Adams,30,1,MLB-NL,Washington,101,303,281,41,66,14,0,20,56,19,1,101,2,0,1,6,0,0,0.235,0.287,0.498,0.785
6,Jim Adduci,34,92,MLB-NL,Chicago,2,5,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0.0,0.0
7,Ehire Adrianza,29,1,MLB-AL,Minnesota,78,219,187,33,52,7,3,4,19,20,1,34,6,1,3,2,0,2,0.278,0.361,0.41200000000000003,0.773
8,Dario Agrazal,24,2,MLB-NL,Pittsburgh,9,17,15,0,0,0,0,0,2,0,0,7,0,1,1,0,0,0,0.0,0.0,0.0,0.0
9,Jesus Aguilar,29,2,"MLB-NL,MLB-AL","Milwaukee,Tampa Bay",117,339,290,37,69,12,0,10,43,39,0,73,2,0,5,11,0,0,0.23800000000000002,0.327,0.38299999999999995,0.71
10,Nick Ahmed,29,0,MLB-NL,Arizona,135,533,473,71,125,30,4,17,75,46,1,96,2,1,11,12,7,0,0.264,0.325,0.452,0.778
11,Hanser Alberto,26,0,MLB-AL,Baltimore,117,452,431,51,139,20,2,10,46,13,1,40,3,2,3,8,4,3,0.32299999999999995,0.344,0.44799999999999995,0.792
12,Ozzie Albies,22,0,MLB-NL,Atlanta,137,602,549,85,158,37,7,19,71,48,5,98,3,0,2,2,13,3,0.28800000000000003,0.34700000000000003,0.485,0.8320000000000001
13,Sandy Alcantara,23,4,MLB-NL,Miami,25,47,43,2,5,1,0,0,4,1,0,31,1,2,0,0,0,0,0.11599999999999999,0.156,0.14,0.295
14,Jorge Alfaro,26,1,MLB-NL,Miami,106,384,362,36,97,11,1,14,44,13,0,135,7,0,2,9,3,3,0.268,0.305,0.42,0.725
