team_id,Trade Block,Positions,Player,Player Salary,Keeping
1,,1B,Luke Voit,6.0,X
1,,2B,DJ LeMahieu,10.0,X
1,,3B,Matt Chapman,7.0,X
1,,SS,Jean Segura,7.0,X
1,,OF,Mookie Betts,45.0,X
1,,OF,Christian Yelich,11.0,X
1,,OF,Austin Hays,6.0,X
1,,UTIL,David Peralta,6.0,X
1,,SP,Frankie Montas,1.0,X
1,,SP,J.A. Happ,9.0,X
1,,SP,Rick Porcello,7.0,X
1,,SP,Sean Newcomb,8.0,X
1,,SP,Zach Eflin,6.0,X
1,,RP,,,X
1,,RP,Kenley Jansen,7.0,X
1,,BE,Asdrubal Cabrera,6.0,X
1,,BE,Scott Kingery,6.0,X
1,,BE,Trey Mancini,1.0,X
1,,BE,Marcus Stroman,7.0,X
1,,BE,Isiah Kiner- Falefa,9.0,X
1,,BE,Nathan Eovaldi,1.0,X
1,,BE,,,X
1,,BE,Marcus Walden,1.0,X
1,,BE,,,X
1,,BE,Jake Odorizzi,1.0,X
1,,,Tony Gonsolin,1.0,X
1,,DL,Dellin Betances,6.0,X
1,,DL,Luis Severino,7.0,X
2,,1B,Joey Votto,2.0,X
2,,2B,Hanser Alberto,1.0,X
2,,3B,Eugenio Suarez,2.0,X
2,,SS,Didi Gregorius,2.0,X
2,,OF,Kole Calhoun,1.0,X
2,,OF,Starling Marte,2.0,X
2,,OF,Michael Brantley,2.0,X
2,,UTIL,Hunter Renfroe,2.0,X
2,,SP,Eduardo Rodriguez,2.0,X
2,,SP,,,X
2,,SP,,,X
2,,SP,Charlie Morton,2.0,X
2,,SP,Giovanny Gallegos,1.0,X
2,,RP,Hector Neris,1.0,X
2,,BE,Jason Vargas,1.0,X
2,,BE,Wade Miley,1.0,X
2,,BE,Michael Pineda,1.0,X
2,,BE,John Means,3.0,X
2,,BE,,,X
2,,BE,Buster Posey,14.0,X
2,,BE,luis Arraez,1.0,X
2,,BE,Mike Yastrzemski,1.0,X
2,,BE,brian Anderson,1.0,X
2,,DL,,,
2,,DL,Corey Knebell,6.0,X
2,,DL,,,X
2,,DL,Salvador Perez,2.0,X
2,,DL,,,X
3,,1B,Rhys Hoskins,6.0,X
3,,2B,Eric Sogard,1.0,X
3,,3B,Manny Machado,25.0,X
3,,SS,Trevor Story,6.0,X
3,,OF,Nicholas Castellanos,6.0,X
3,,OF,Jesse Winker,11.0,x
3,,OF,Aaron Judge,6.0,X
3,,UTIL,Yordan Alvarez,1.0,X
3,,SP,Julio Urias,6.0,X
3,,SP,Trevor Bauer,6.0,X
3,,SP,Jose Berrios,6.0,X
3,,SP,Lucas Giolito,1.0,X
3,,SP,Justin Verlander,6.0,X
3,,RP,,,x
3,,RP,,,x
3,,BE,Mike Foltynewicz,6.0,X
3,,BE,Alex Verdugo,6.0,X
3,,BE,Carter Kieboom,1.0,X
