Roto_Rank_Pit,Season,Points,Total_Z,Name,Team,Age,K,ERA,WHIP,Saves,Wins,K_zscore,ERA_zscore,WHIP_zscore,Saves_zscore,Wins_zscore
0,2019.0,738.0,10.902042575473367,Gerrit Cole,Astros,28.0,326.0,2.5,0.8958038661008958,0.0,20.0,5.045502094723033,-0.7332384548706256,-0.9938906877404146,-0.2768052875366609,4.406216625675953
1,2019.0,756.0,10.805381922371756,Justin Verlander,Astros,36.0,300.0,2.58,0.8026905829596412,0.0,21.0,4.566130822981698,-0.7137144687510667,-1.1374012095334405,-0.2768052875366609,4.664940708642211
2,2019.0,362.0,10.238486510637268,Josh Hader,Brewers,25.0,138.0,2.62,0.8111702127659575,37.0,3.0,1.5792790529010756,-0.7039524756912873,-1.1243320097687834,6.823015757026541,0.007907215249580005
3,2019.0,356.0,9.764371319783026,Kirby Yates,Padres,32.0,101.0,1.19,0.8970099667774086,41.0,0.0,0.897096858499946,-1.052943727578401,-0.992031789293469,7.5905639780604,-0.7682650336491917
4,2019.0,306.0,9.386887599462636,Roberto Osuna,Astros,24.0,73.0,2.63,0.8769230769230769,38.0,4.0,0.38085087354773967,-0.7015119774263424,-1.0229906379877107,7.014902812285006,0.26663129821583725
5,2019.0,346.0,9.294445775096898,Will Smith,Giants,29.0,96.0,2.76,1.0291858678955454,34.0,6.0,0.8049100754727663,-0.6697854999820594,-0.7883161442425749,6.247354591251146,0.7840794641483517
6,2019.0,304.0,8.908097316905687,Aroldis Chapman,Yankees,31.0,85.0,2.21,1.105263157894737,37.0,3.0,0.602099152812971,-0.8040129045540262,-0.6710622872625704,6.823015757026541,0.007907215249580005
7,2019.0,273.0,8.611203602830043,Brad Hand,Indians,29.0,84.0,3.3,1.243432574430823,34.0,6.0,0.583661796207535,-0.5379985936750373,-0.4581091575479726,6.247354591251146,0.7840794641483517
8,2019.0,561.0,8.582084798308905,Stephen Strasburg,Nationals,30.0,251.0,3.32,1.0382775119617225,0.0,18.0,3.662700349315337,-0.5331175971451476,-0.7743036796416414,-0.2768052875366609,3.8887684597434387
9,2019.0,253.0,8.264115292106286,Kenley Jansen,Dodgers,31.0,80.0,3.71,1.0634920634920635,33.0,5.0,0.5099123697857912,-0.43793816481229836,-0.7354418403334197,6.0554675359926815,0.5253553811820946
10,2019.0,318.0,8.192402911815725,Felipe Vazquez,Pirates,27.0,90.0,1.65,0.9333333333333333,28.0,5.0,0.6942859358401506,-0.940680807390938,-0.9360485277021855,5.0960322597003564,0.5253553811820946
11,2019.0,593.0,7.936503678185517,Shane Bieber,Indians,24.0,259.0,3.28,1.0555815039701075,0.0,15.0,3.8101992021588247,-0.542879590204927,-0.7476339625137589,-0.2768052875366609,3.112596210844667
