Rank,team_id,Team Name,Team_Name,Total_Points,Total_Salary,Number_Players,Avg_Salary,Avg_Player_Score
0,6,Team Dale,Team6,8113.0,166.0,25,6.64,324.52
1,13,Yu all going down,Team13,8033.0,144.0,27,5.333333333333333,297.51851851851853
2,7,I Play First Base,Team7,7969.0,173.0,27,6.407407407407407,295.14814814814815
3,4,Kershawshank Redemption,Team4,7912.0,116.0,24,4.833333333333333,329.6666666666667
4,3,Coconut Institution,Team3,7565.0,142.0,25,5.68,302.6
5,14,Size 9 Crown,Team14,7344.0,123.0,26,4.730769230769231,282.46153846153845
6,1,Deadline Dodgers,Team1,6792.0,167.0,23,7.260869565217392,295.30434782608694
7,10,Team Wicks 2,Team10,6704.0,137.0,25,5.48,268.16
8,9,Leonard Nimoy's Angry Kitties,Team9,6679.0,211.0,17,12.411764705882353,392.88235294117646
9,5,Nashville Eagles,Team5,6485.0,192.0,21,9.142857142857142,308.8095238095238
10,8,There'sNoCrying in Baseball,Team8,6087.0,55.0,19,2.8947368421052633,320.36842105263156
11,2,Pittsburg War Dogs,Team2,6057.0,41.0,18,2.2777777777777777,336.5
12,12,NOmar Losing,Team12,5071.0,98.0,20,4.9,253.55
13,11,50 shades of Trea,Team11,5042.0,69.0,16,4.3125,315.125
