Rank,team_id,Team Name,Team_Name,Total_Points,Total_Salary,Number_Players,Avg_Salary,Avg_Player_Score
0,3,Coconut Institution,Team3,8938,142.0,25,5.68,357.52
1,4,Kershawshank Redemption,Team4,8800,116.0,24,4.833333333333333,366.6666666666667
2,6,Team Dale,Team6,8610,194.0,27,7.185185185185185,318.8888888888889
3,7,I Play First Base,Team7,8432,173.0,27,6.407407407407407,312.2962962962963
4,13,Yu all going down,Team13,8364,144.0,27,5.333333333333333,309.77777777777777
5,5,Nashville Eagles,Team5,7851,192.0,21,9.142857142857142,373.85714285714283
6,14,Size 9 Crown,Team14,7734,123.0,26,4.730769230769231,297.46153846153845
7,1,Deadline Dodgers,Team1,7708,167.0,23,7.260869565217392,335.1304347826087
8,10,Team Wicks 2,Team10,7203,134.0,24,5.583333333333333,300.125
9,9,Leonard Nimoy's Angry Kitties,Team9,7094,211.0,17,12.411764705882353,417.29411764705884
10,8,There'sNoCrying in Baseball,Team8,6850,55.0,19,2.8947368421052633,360.5263157894737
11,12,NOmar Losing,Team12,6699,98.0,20,4.9,334.95
12,2,Pittsburg War Dogs,Team2,5600,41.0,18,2.2777777777777777,311.1111111111111
13,11,50 shades of Trea,Team11,5314,69.0,16,4.3125,332.125
