team_id,Player,Player Salary,Age,Team,Positions,Total_Points
1,Luke Voit,6.0,28.0,Yankees,1B,314
1,DJ LeMahieu,10.0,30.0,Yankees,2B,357
1,Matt Chapman,7.0,26.0,Athletics,3B,427
1,Jean Segura,7.0,29.0,Phillies,SS,326
1,Mookie Betts,45.0,26.0,Red Sox,OF,578
1,Christian Yelich,11.0,27.0,Brewers,OF,508
1,Austin Hays,6.0,23.0,Orioles,OF,138
1,David Peralta,6.0,31.0,Diamondbacks,UTIL,261
1,Frankie Montas,1.0,26.0,Athletics,SP,328
1,J.A. Happ,9.0,36.0,Yankees,SP,239
1,Rick Porcello,7.0,30.0,Red Sox,SP,309
1,Sean Newcomb,8.0,26.0,Braves,SP,255
1,Zach Eflin,6.0,25.0,Phillies,SP,306
1,Cody Allen,2.0,30.0,Angels,RP,238
1,Kenley Jansen,7.0,31.0,Dodgers,RP,400
1,Asdrubal Cabrera,6.0,33.0,- - -,BE,238
1,Scott Kingery,6.0,25.0,Phillies,BE,450
1,Trey Mancini,1.0,27.0,Orioles,BE,382
1,Marcus Stroman,7.0,28.0,- - -,BE,338
1,Andrew Miller,7.0,0.0,0,BE,334
1,Marcus Walden,1.0,30.0,Red Sox,BE,247
1,Spencer Turnbull,1.0,26.0,Tigers,BE,246
1,Luis Severino,7.0,0.0,0,DL,441
2,Joey Votto,2.0,35.0,Reds,1B,247
2,Kolten Wong,1.0,28.0,Cardinals,2B,304
2,Eugenio Suarez,2.0,27.0,Reds,3B,438
2,Elvis Andrus,2.0,30.0,Rangers,SS,297
9,Elvis Andrus,2.0,30.0,Rangers,BE,297
2,Kole Calhoun,1.0,31.0,Angels,OF,273
2,Starling Marte,2.0,30.0,Pirates,OF,341
2,Michael Brantley,2.0,32.0,Astros,OF,340
2,Hunter Renfroe,2.0,27.0,Padres,UTIL,315
2,Eduardo Rodriguez,2.0,26.0,Red Sox,SP,463
2,Adrian Sampson,1.0,27.0,Rangers,SP,239
2,Zach Davies,1.0,26.0,Brewers,SP,308
2,Charlie Morton,2.0,35.0,Rays,SP,325
2,Jake Arrieta,22.0,33.0,Phillies,SP,217
2,Hector Neris,1.0,30.0,Phillies,RP,305
2,Didi Gregorius,2.0,29.0,Yankees,BE,300
2,Wade Miley,1.0,32.0,Astros,BE,252
2,Shane Greene,1.0,0.0,0,BE,210
2,Jake Odorizzi,1.0,29.0,Twins,BE,353
2,Chris Bassitt,1.0,30.0,Athletics,BE,307
2,Buster Posey,14.0,32.0,Giants,BE,212
2,Aledmys Diaz,1.0,28.0,Astros,DL,221
2,Dwight Smith Jr.,1.0,26.0,Orioles,DL,247
2,Scooter Gennett,2.0,29.0,- - -,DL,368
3,Rhys Hoskins,6.0,26.0,Phillies,1B,472
3,Eric Sogard,1.0,33.0,- - -,2B,189
3,Manny Machado,25.0,26.0,Padres,3B,473
3,Trevor Story,6.0,26.0,Rockies,SS,447
3,Nicholas Castellanos,6.0,27.0,- - -,OF,409
3,Jesse Winker,11.0,25.0,Reds,OF,323
3,Aaron Judge,6.0,27.0,Yankees,OF,356
3,Yordan Alvarez,1.0,22.0,Astros,UTIL,405
3,Julio Urias,6.0,22.0,Dodgers,SP,377
3,Trevor Bauer,6.0,28.0,- - -,SP,479
3,Jose Berrios,6.0,25.0,Twins,SP,494
3,Lucas Giolito,1.0,24.0,White Sox,SP,461
3,Justin Verlander,6.0,36.0,Astros,SP,376
7,Justin Verlander,6.0,36.0,Astros,SP,376
3,Brandon Workman,1.0,0.0,0,RP,209
3,Alex Colome,1.0,0.0,0,RP,258
3,Mike Foltynewicz,6.0,27.0,Braves,BE,287
3,Alex Verdugo,6.0,23.0,Dodgers,BE,311
3,Carter Kieboom,1.0,21.0,Nationals,BE,155
3,Gavin Lux,1.0,21.0,Dodgers,BE,182
3,Charlie Blackmon,25.0,32.0,Rockies,BE,365
3,Christian Vazquez,1.0,28.0,Red Sox,BE,263
3,Brad Peacock,5.0,0.0,0,BE,452
14,Brad Peacock,11.0,0.0,0,SP,452
3,Chris Sale,1.0,0.0,0,DL,594
3,Jameson Taillon,1.0,27.0,Pirates,DL,247
3,Carlos Carrasco,6.0,0.0,0,DL,449
4,Freddie Freeman,4.0,29.0,Braves,1B,476
4,Ozzie Albies,3.0,22.0,Braves,2B,543
4,Mike Moustakas,4.0,30.0,Brewers,3B,371
5,Mike Moustakas,4.0,30.0,Brewers,2B,371
4,Javier Baez,4.0,26.0,Cubs,SS,429
4,J.D. Martinez,4.0,31.0,Red Sox,OF,445
4,Andrew Benintendi,3.0,24.0,Red Sox,OF,430
4,Bryce Harper,4.0,26.0,Phillies,OF,499
4,Stephen Piscotty,3.0,28.0,Athletics,UTIL,267
4,Kyle Hendricks,3.0,29.0,Cubs,SP,346
8,Kyle Hendricks,3.0,29.0,Cubs,BE,346
4,Kevin Gausman,3.0,28.0,- - -,SP,246
4,Jacob deGrom,3.0,31.0,Mets,SP,464
4,Aaron Nola,4.0,26.0,Phillies,SP,503
4,Nathan Eovaldi,3.0,29.0,Red Sox,SP,229
4,Ryan Brasier,1.0,0.0,0,RP,116
4,Ty Buttrey,7.0,0.0,0,RP,140
4,Christian Walker,1.0,28.0,Diamondbacks,BE,298
4,Austin Barnes,1.0,29.0,Dodgers,BE,167
4,Freddy Peralta,3.0,23.0,Brewers,BE,344
4,Fernando Tatis Jr.,3.0,20.0,Padres,BE,384
4,Pablo Lopez,3.0,23.0,Marlins,BE,323
4,Franmil Reyes,5.0,23.0,- - -,BE,383
4,Max Fried,1.0,25.0,Braves,BE,418
4,Clayton Kershaw,4.0,31.0,Dodgers,BE,413
4,Collin McHugh,13.0,0.0,0,DL,393
4,Alex Wood,3.0,28.0,Reds,DL,233
5,Cody Bellinger,6.0,23.0,Dodgers,1B,615
12,Cody Bellinger,6.0,23.0,Dodgers,1B,615
5,Nolan Arenado,33.0,28.0,Rockies,3B,522
5,Francisco Lindor,1.0,25.0,Indians,SS,534
5,Eloy Jimenez,6.0,22.0,White Sox,OF,361
5,Ramon Laureano,2.0,24.0,Athletics,OF,341
5,Joey Gallo,9.0,25.0,Rangers,OF,319
5,Yoan Moncada,6.0,24.0,White Sox,UTIL,340
5,Luis Castillo,2.0,26.0,Reds,SP,446
5,Chris Paddack,20.0,23.0,Padres,SP,460
5,A.J. Puk,6.0,0.0,0,SP,114
5,Jesus Luzardo,27.0,0.0,0,SP,126
5,Edwin Diaz,6.0,0.0,0,RP,571
5,Josh Hader,6.0,25.0,Brewers,RP,502
5,Jordan Hicks,6.0,0.0,0,BE,375
5,Eric Lauer,1.0,24.0,Padres,BE,317
5,Joe Musgrove,1.0,26.0,Pirates,BE,353
5,Corey Seager,36.0,25.0,Dodgers,BE,355
5,A.J. Pollock,12.0,31.0,Dodgers,BE,229
5,Clint Frazier,1.0,24.0,Yankees,BE,211
5,Sean Manaea,1.0,0.0,0,DL,389
6,Justin Smoak,6.0,32.0,Blue Jays,1B,262
6,Dee Gordon,6.0,31.0,Mariners,2B,196
6,Evan Longoria,1.0,33.0,Giants,3B,214
6,Chris Taylor,3.0,28.0,Dodgers,SS,259
6,Ryan Braun,6.0,35.0,Brewers,OF,219
6,Yasiel Puig,7.0,28.0,- - -,OF,366
6,Mitch Haniger,6.0,28.0,Mariners,OF,266
6,Nelson Cruz,6.0,38.0,Twins,UTIL,211
6,Zack Greinke,28.0,35.0,- - -,SP,344
6,David Price,26.0,33.0,Red Sox,SP,276
6,Jose Quintana,6.0,30.0,Cubs,SP,295
6,Cole Hamels,6.0,35.0,Cubs,SP,218
6,Aaron Sanchez,1.0,26.0,- - -,SP,235
9,Aaron Sanchez,4.0,26.0,- - -,SP,235
6,Mychal Givens,1.0,0.0,0,RP,146
6,Will Smith,14.0,24.0,Dodgers,RP,526
6,Will Smith,14.0,24.0,Dodgers,RP,526
6,Will Smith,14.0,29.0,Giants,RP,397
6,Will Smith,14.0,29.0,Giants,RP,397
6,Joey Wendle,1.0,29.0,Rays,BE,189
6,Randal Grichuk,1.0,27.0,Blue Jays,BE,338
6,C.J. Cron,1.0,29.0,Twins,BE,291
6,Shin-Soo Choo,2.0,36.0,Rangers,BE,208
6,Yuli Gurriel,7.0,35.0,Astros,BE,273
6,Marcus Semien,9.0,28.0,Athletics,BE,419
6,Matt Strahm,11.0,27.0,Padres,BE,308
6,Ian Desmond,3.0,33.0,Rockies,BE,280
7,Anthony Rizzo,18.0,29.0,Cubs,1B,426
7,Brandon Lowe,6.0,24.0,Rays,2B,271
7,Anthony Rendon,6.0,29.0,Nationals,3B,478
7,Amed Rosario,6.0,23.0,Mets,SS,362
7,Joc Pederson,1.0,27.0,Dodgers,OF,366
7,Jake Bauers,6.0,23.0,Indians,OF,274
7,Jason Heyward,6.0,29.0,Cubs,OF,318
7,Garrett Hampson,5.0,24.0,Rockies,UTIL,189
7,Stephen Strasburg,6.0,30.0,Nationals,SP,457
7,Jon Lester,6.0,35.0,Cubs,SP,244
7,Zack Godley,6.0,29.0,- - -,SP,229
7,Dereck Rodriguez,6.0,27.0,Giants,SP,265
