team_id,Player,Player Salary,Age_bat,Team_bat,Positions,Total_Points
1,Luke Voit,6.0,28.0,Yankees,1B,307.0
1,DJ LeMahieu,10.0,30.0,Yankees,2B,525.0
1,Matt Chapman,7.0,26.0,Athletics,3B,463.0
1,Jean Segura,7.0,29.0,Phillies,SS,369.0
1,Mookie Betts,45.0,26.0,Red Sox,OF,596.0
1,Christian Yelich,11.0,27.0,Brewers,OF,619.0
1,Austin Hays,6.0,23.0,Orioles,OF,59.0
1,David Peralta,6.0,31.0,Diamondbacks,UTIL,256.0
1,Frankie Montas,1.0,26.0,Athletics,SP,245.0
1,J.A. Happ,9.0,36.0,Yankees,SP,241.29999999999995
1,Rick Porcello,7.0,30.0,Red Sox,SP,203.29999999999995
1,Sean Newcomb,8.0,26.0,Braves,SP,122.0
1,Zach Eflin,6.0,25.0,Phillies,SP,223.6
1,Kenley Jansen,7.0,31.0,Dodgers,RP,235.0
1,Asdrubal Cabrera,6.0,33.0,- - -,BE,329.0
1,Scott Kingery,6.0,25.0,Phillies,BE,272.0
1,Trey Mancini,1.0,27.0,Orioles,BE,507.0
1,Marcus Stroman,7.0,28.0,- - -,BE,295.2999999999999
1,Nathan Eovaldi,1.0,29.0,Red Sox,BE,65.60000000000002
1,Marcus Walden,1.0,30.0,Red Sox,BE,155.0
1,Jake Odorizzi,1.0,29.0,Twins,BE,375.0
1,Tony Gonsolin,1.0,25.0,Dodgers,,106.0
1,Luis Severino,7.0,0.0,0,DL,37.0
2,Joey Votto,2.0,35.0,Reds,1B,337.0
2,Hanser Alberto,1.0,26.0,Orioles,2B,316.0
2,Eugenio Suarez,2.0,27.0,Reds,3B,486.0
2,Didi Gregorius,2.0,29.0,Yankees,SS,246.0
2,Kole Calhoun,1.0,31.0,Angels,OF,406.0
2,Starling Marte,2.0,30.0,Pirates,OF,447.0
2,Michael Brantley,2.0,32.0,Astros,OF,487.0
2,Hunter Renfroe,2.0,27.0,Padres,UTIL,308.0
2,Eduardo Rodriguez,2.0,26.0,Red Sox,SP,424.3
2,Charlie Morton,2.0,35.0,Rays,SP,491.5999999999999
2,Giovanny Gallegos,1.0,27.0,Cardinals,SP,209.0
2,Hector Neris,1.0,30.0,Phillies,RP,239.6
2,Jason Vargas,1.0,36.0,- - -,BE,209.29999999999995
2,Wade Miley,1.0,32.0,Astros,BE,307.2999999999999
2,Michael Pineda,1.0,30.0,Twins,BE,304.0
2,John Means,3.0,26.0,Orioles,BE,276.0
2,Buster Posey,14.0,32.0,Giants,BE,207.0
2,Mike Yastrzemski,1.0,28.0,Giants,BE,265.0
3,Rhys Hoskins,6.0,26.0,Phillies,1B,434.0
3,Eric Sogard,1.0,33.0,- - -,2B,291.0
3,Manny Machado,25.0,26.0,Padres,3B,421.0
3,Trevor Story,6.0,26.0,Rockies,SS,479.0
3,Nicholas Castellanos,6.0,27.0,- - -,OF,449.0
3,Jesse Winker,11.0,25.0,Reds,OF,259.0
