,Unnamed: 0,Season,Name,Team,Age,W_pit,L_pit,ERA_pit,ER_pit,WAR_pit,G_pit,GS_pit,CG_pit,ShO_pit,SV_pit,BS_pit,IP_pit,H_pit,R_pit,HR_pit,BB_pit,IBB_pit,HBP_pit,BK_pit,SO_pit,Pitches_pit,Points
0,0,2019.0,Justin Verlander,Astros,36.0,-33,-16,-9,-139,-11,-81,-65,-2,-1,-1,0,-433,-314,-145,-62,-102,-2,-13,-1,-539,-6998,-1252
1,1,2019.0,Cody Bellinger,Dodgers,23.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2019.0,Gerrit Cole,Astros,28.0,18,8,6,87,6,46,37,0,0,0,0,242,191,94,31,68,0,5,1,313,3935,655
3,3,2019.0,Alex Bregman,Astros,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,2019.0,Mike Trout,Angels,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,2019.0,Christian Yelich,Brewers,27.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,2019.0,Anthony Rendon,Nationals,29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,2019.0,Nolan Arenado,Rockies,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,2019.0,Freddie Freeman,Braves,29.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,2019.0,Mookie Betts,Red Sox,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,2019.0,Marcus Semien,Athletics,28.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,2019.0,Ketel Marte,Diamondbacks,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,2019.0,Shane Bieber,Indians,24.0,41,22,20,233,12,119,83,4,3,2,1,553,519,248,77,123,3,16,1,625,8769,1317
13,13,2019.0,Carlos Santana,Indians,33.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,2019.0,Rafael Devers,Red Sox,22.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,2019.0,Juan Soto,Nationals,20.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,2019.0,Josh Bell,Pirates,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17,2019.0,Xander Bogaerts,Red Sox,26.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,2019.0,Zack Greinke,- - -,35.0,-25,-13,-8,-119,-6,-64,-51,0,0,0,0,-332,-288,-128,-40,-68,-3,-6,0,-318,-5138,-777
19,19,2019.0,Peter Alonso,Mets,24.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,20,2019.0,Ronald Acuna Jr.,Braves,21.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,21,2019.0,Jacob deGrom,Mets,31.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,22,2019.0,Stephen Strasburg,Nationals,30.0,6,2,2,30,1,15,12,0,0,0,0,79,65,32,9,22,1,3,0,92,1291,200
23,23,2019.0,Eduardo Escobar,Diamondbacks,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
