Season_bat,Name_bat,Team_bat,Age_bat,Points_bat,G_bat,PA_bat,AB_bat,AVG_bat,H_bat,1B_bat,2B_bat,3B_bat,HR_bat,R_bat,RBI_bat,BB_bat,IBB_bat,SO_bat,HBP_bat,SB_bat,CS_bat,HBP.1_bat,SO.1_bat,Pitches_bat,NumPlayers_bat,Season_pit,Name_pit,Team_pit,Age_pit,Points_pit,W_pit,L_pit,ERA_pit,WAR_pit,G_pit,GS_pit,CG_pit,ShO_pit,SV_pit,BS_pit,IP_pit,H_pit,R_pit,HR_pit,BB_pit,IBB_pit,HBP_pit,BK_pit,SO_pit,Pitches_pit,NumPlayers_pit,TBF_pit,ER_pit
2030.0,X,X,,,,,,,,,,,,,,,,,,,,,,,,2030.0,X,X,,,,,,,,,,,,,,,,,,,,,,,,,
2029.0,X,X,,,,,,,,,,,,,,,,,,,,,,,,2029.0,X,X,,,,,,,,,,,,,,,,,,,,,,,,,
2028.0,X,X,,,,,,,,,,,,,,,,,,,,,,,,2028.0,X,X,,,,,,,,,,,,,,,,,,,,,,,,,
2027.0,X,X,,,,,,,,,,,,,,,,,,,,,,,,2027.0,X,X,,,,,,,,,,,,,,,,,,,,,,,,,
2026.0,X,X,,,,,,,,,,,,,,,,,,,,,,,,2026.0,X,X,,,,,,,,,,,,,,,,,,,,,,,,,
2025.0,X,X,,,,,,,,,,,,,,,,,,,,,,,,2025.0,X,X,,,,,,,,,,,,,,,,,,,,,,,,,
2023.0,X,X,,,,,,,,,,,,,,,,,,,,,,,,2023.0,X,X,,,,,,,,,,,,,,,,,,,,,,,,,
2022.0,X,X,,,,,,,,,,,,,,,,,,,,,,,,2022.0,X,X,,,,,,,,,,,,,,,,,,,,,,,,,
2021.0,X,X,,,,,,,,,,,,,,,,,,,,,,,,2021.0,X,X,,,,,,,,,,,,,,,,,,,,,,,,,
2020.0,X,X,26960.0,,,,,,,,,,,,,,,,,,,,,,1392.0,2020.0,X,X,26960.0,,,,,,,,,,,,,,,,,,,,,,1392.0,,
2019.0,X,X,27367.0,107232.0,60428.0,186516.0,166651.0,179.98299999999978,42040.0,25948.0,8531.0,785.0,6776.0,23467.0,22471.0,15895.0,753.0,42823.0,1984.0,2280.0,832.0,,,732477.0,990.0,2019.0,X,X,22817.0,70227.0,2429.0,2428.0,4502.6500000000015,429.49999999999915,21415.0,4857.0,45.0,26.0,1180.0,687.0,43230.999999999294,42021.0,23436.0,6772.0,15876.0,753.0,1982.0,153.0,42817.0,732243.0,818.0,186461.0,21708.0
2018.0,X,X,27352.0,98060.0,60623.0,185139.0,165432.0,178.04299999999972,41018.0,26322.0,8264.0,847.0,5585.0,21629.0,20606.0,15686.0,929.0,41207.0,1922.0,2474.0,958.0,,,721191.0,990.0,2018.0,X,X,21781.0,74448.0,2431.0,2429.0,4213.36,430.19999999999936,21179.0,4862.0,42.0,19.0,1244.0,632.0,43313.09999999937,41006.0,21610.0,5580.0,15671.0,928.0,1921.0,149.0,41205.0,721022.0,784.0,185094.0,20032.0
2017.0,X,X,26607.0,105155.0,59451.0,185295.0,165567.0,184.2099999999997,42215.0,26918.0,8397.0,795.0,6105.0,22582.0,21558.0,15829.0,970.0,40104.0,1763.0,2527.0,934.0,,,721249.0,957.0,2017.0,X,X,20694.0,69939.0,2430.0,2429.0,3966.0300000000043,430.69999999999993,20503.0,4859.0,59.0,27.0,1179.0,603.0,43087.49999999942,42196.0,22561.0,6103.0,15817.0,970.0,1761.0,155.0,40099.0,721045.0,743.0,185247.0,20926.0
2016.0,X,X,26965.0,101389.0,59489.0,184578.0,165562.0,179.209,42276.0,27538.0,8255.0,873.0,5610.0,21743.0,20746.0,15088.0,932.0,38983.0,1651.0,2537.0,1001.0,,,715828.0,969.0,2016.0,X,X,20439.0,71912.70000000103,2427.0,2427.0,3807.6899999999987,430.4,20152.0,4856.0,83.0,36.0,1276.0,608.0,43139.89999999939,42272.0,21741.0,5610.0,15083.0,932.0,1651.0,148.0,38981.0,715755.0,736.0,184558.0,20158.0
2015.0,X,X,26867.0,96087.0,59146.0,183627.0,165488.0,185.75799999999992,42106.0,28016.0,8242.0,939.0,4909.0,20647.0,19650.0,14073.0,951.0,37446.0,1602.0,2505.0,1064.0,,,702307.0,964.0,2015.0,X,X,20265.0,74708.20000000118,2428.0,2428.0,3366.670000000002,428.49999999999915,19954.0,4858.0,104.0,51.0,1291.0,576.0,43241.39999999941,42098.0,20633.0,4906.0,14067.0,951.0,1599.0,141.0,37445.0,702199.0,725.0,183596.0,19101.0
2014.0,X,X,26505.0,90157.0,58902.0,183928.0,165614.0,176.38799999999972,41595.0,28423.0,8137.0,849.0,4186.0,19757.0,18745.0,14020.0,985.0,37441.0,1652.0,2764.0,1033.0,,,704976.0,947.0,2014.0,X,X,19036.0,78189.10000000107,2430.0,2430.0,3307.3100000000013,430.99999999999983,19306.0,4860.0,118.0,65.0,1264.0,549.0,43462.699999999466,41580.0,19744.0,4184.0,14013.0,985.0,1652.0,128.0,37438.0,704824.0,683.0,183893.0,18112.0
2013.0,X,X,26513.0,95320.0,58626.0,184872.0,166070.0,174.01299999999995,42093.0,28438.0,8222.0,772.0,4661.0,20252.0,19271.0,14640.0,1018.0,36710.0,1536.0,2692.0,1007.0,,,709915.0,948.0,2013.0,X,X,18652.0,75062.70000000103,2431.0,2430.0,3081.8100000000013,430.5999999999997,19187.0,4862.0,124.0,57.0,1266.0,579.0,43499.89999999947,42085.0,20249.0,4659.0,14634.0,1018.0,1536.0,128.0,36706.0,709806.0,668.0,184846.0,18744.0
2012.0,X,X,26938.0,99294.0,59332.0,184179.0,165251.0,180.40599999999998,42063.0,27941.0,8261.0,927.0,4934.0,21017.0,19998.0,14709.0,1055.0,36426.0,1494.0,3229.0,1136.0,,,705321.0,961.0,2012.0,X,X,18316.0,73416.80000000093,2430.0,2429.0,3109.839999999999,429.79999999999984,19376.0,4860.0,128.0,69.0,1261.0,536.0,43203.59999999948,42052.0,21006.0,4933.0,14703.0,1055.0,1494.0,165.0,36423.0,705222.0,655.0,184152.0,19329.0
2011.0,X,X,26259.0,99613.0,58243.0,185245.0,165705.0,185.62199999999973,42267.0,28418.0,8399.0,898.0,4552.0,20808.0,19804.0,15018.0,1231.0,34488.0,1554.0,3279.0,1261.0,,,707845.0,934.0,2011.0,X,X,18321.0,72046.40000000088,2429.0,2429.0,3036.970000000001,429.19999999999914,18748.0,4858.0,173.0,75.0,1243.0,582.0,43374.79999999946,42267.0,20808.0,4552.0,15018.0,1231.0,1554.0,169.0,34488.0,707825.0,659.0,185241.0,19067.0
