,Season,Name,Team,Age,Points,G,PA,AB,AVG,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SB,CS,HBP.1,SO.1,Pitches,NumPlayers
0,2030.0,X,X,,,,,,,,,,,,,,,,,,,,,,,
1,2029.0,X,X,,,,,,,,,,,,,,,,,,,,,,,
2,2028.0,X,X,,,,,,,,,,,,,,,,,,,,,,,
3,2027.0,X,X,,,,,,,,,,,,,,,,,,,,,,,
4,2026.0,X,X,,,,,,,,,,,,,,,,,,,,,,,
5,2025.0,X,X,,,,,,,,,,,,,,,,,,,,,,,
6,2023.0,X,X,,,,,,,,,,,,,,,,,,,,,,,
7,2022.0,X,X,,,,,,,,,,,,,,,,,,,,,,,
8,2021.0,X,X,,,,,,,,,,,,,,,,,,,,,,,
9,2020.0,X,X,26960.0,,,,,,,,,,,,,,,,,,,,,,1392.0
10,2019.0,X,X,27367.0,107232.0,60428.0,186516.0,166651.0,179.98299999999978,42040.0,25948.0,8531.0,785.0,6776.0,23467.0,22471.0,15895.0,753.0,42823.0,1984.0,2280.0,832.0,,,732477.0,990.0
11,2018.0,X,X,27352.0,98060.0,60623.0,185139.0,165432.0,178.04299999999972,41018.0,26322.0,8264.0,847.0,5585.0,21629.0,20606.0,15686.0,929.0,41207.0,1922.0,2474.0,958.0,,,721191.0,990.0
12,2017.0,X,X,26607.0,105155.0,59451.0,185295.0,165567.0,184.2099999999997,42215.0,26918.0,8397.0,795.0,6105.0,22582.0,21558.0,15829.0,970.0,40104.0,1763.0,2527.0,934.0,,,721249.0,957.0
13,2016.0,X,X,26965.0,101389.0,59489.0,184578.0,165562.0,179.209,42276.0,27538.0,8255.0,873.0,5610.0,21743.0,20746.0,15088.0,932.0,38983.0,1651.0,2537.0,1001.0,,,715828.0,969.0
14,2015.0,X,X,26867.0,96087.0,59146.0,183627.0,165488.0,185.75799999999992,42106.0,28016.0,8242.0,939.0,4909.0,20647.0,19650.0,14073.0,951.0,37446.0,1602.0,2505.0,1064.0,,,702307.0,964.0
15,2014.0,X,X,26505.0,90157.0,58902.0,183928.0,165614.0,176.38799999999972,41595.0,28423.0,8137.0,849.0,4186.0,19757.0,18745.0,14020.0,985.0,37441.0,1652.0,2764.0,1033.0,,,704976.0,947.0
16,2013.0,X,X,26513.0,95320.0,58626.0,184872.0,166070.0,174.01299999999995,42093.0,28438.0,8222.0,772.0,4661.0,20252.0,19271.0,14640.0,1018.0,36710.0,1536.0,2692.0,1007.0,,,709915.0,948.0
17,2012.0,X,X,26938.0,99294.0,59332.0,184179.0,165251.0,180.406,42063.0,27941.0,8261.0,927.0,4934.0,21017.0,19998.0,14709.0,1055.0,36426.0,1494.0,3229.0,1136.0,,,705321.0,961.0
18,2011.0,X,X,26259.0,99613.0,58243.0,185245.0,165705.0,185.62199999999973,42267.0,28418.0,8399.0,898.0,4552.0,20808.0,19804.0,15018.0,1231.0,34488.0,1554.0,3279.0,1261.0,,,707845.0,934.0
19,2010.0,X,X,26720.0,101949.0,60092.0,185553.0,165353.0,183.8249999999996,42554.0,28589.0,8486.0,866.0,4613.0,21307.0,20288.0,15778.0,1216.0,34306.0,1549.0,2957.0,1128.0,,,710398.0,944.0
20,2009.0,X,X,26868.0,109198.0,60229.0,187079.0,165849.0,181.44799999999958,43524.0,28796.0,8737.0,949.0,5042.0,22419.0,21364.0,16620.0,1179.0,33591.0,1590.0,2970.0,1132.0,,,717052.0,950.0
21,2008.0,X,X,27764.0,109801.0,60882.0,187631.0,166714.0,192.42199999999963,43972.0,29194.0,9014.0,886.0,4878.0,22585.0,21541.0,16337.0,1310.0,32884.0,1672.0,2799.0,1035.0,,,714136.0,983.0
22,2007.0,X,X,27118.0,113542.0,61073.0,188623.0,167783.0,195.91899999999995,44977.0,29885.0,9197.0,938.0,4957.0,23321.0,22257.0,16079.0,1323.0,32189.0,1755.0,2918.0,1002.0,,,712125.0,951.0
23,2006.0,X,X,26874.0,116391.0,60853.0,188071.0,167341.0,191.01000000000008,45073.0,29600.0,9135.0,952.0,5386.0,23599.0,22491.0,15847.0,1410.0,31655.0,1817.0,2767.0,1110.0,,,707725.0,944.0
24,2005.0,X,X,26983.0,110565.0,60210.0,186294.0,166337.0,189.73399999999958,43992.0,29224.0,8863.0,888.0,5017.0,22326.0,21248.0,15207.0,1216.0,30644.0,1797.0,2565.0,1069.0,,,696319.0,941.0
25,2004.0,X,X,27560.0,115378.0,61359.0,188541.0,167355.0,185.16499999999985,44523.0,29255.0,8919.0,898.0,5451.0,23375.0,22248.0,16222.0,1381.0,31829.0,1850.0,2588.0,1100.0,,,710223.0,963.0
26,2003.0,X,X,27671.0,113493.0,61435.0,187460.0,166747.0,195.8459999999997,44057.0,29089.0,8827.0,934.0,5207.0,22977.0,21887.0,15889.0,1316.0,30803.0,1849.0,2572.0,1132.0,,,701474.0,967.0
27,2002.0,X,X,27088.0,110628.0,61831.0,186632.0,165595.0,190.237,43274.0,28593.0,8701.0,921.0,5059.0,22409.0,21334.0,16248.0,1452.0,31395.0,1746.0,2750.0,1282.0,,,698438.0,949.0
28,2001.0,X,X,27762.0,113605.0,61335.0,186976.0,166234.0,197.6239999999998,43879.0,28680.0,8813.0,928.0,5458.0,23197.0,22088.0,15806.0,1384.0,32404.0,1890.0,3103.0,1407.0,,,0.0,972.0
29,2000.0,X,X,27883.0,122914.0,62083.0,190261.0,167290.0,208.63100000000009,45246.0,29700.0,8901.0,952.0,5693.0,24971.0,23735.0,18237.0,1210.0,31356.0,1573.0,2924.0,1323.0,,,0.0,979.0
