,Season,Name,Team,Age,Points,W,L,ERA,WAR,G,GS,CG,ShO,SV,BS,IP,H,R,HR,BB,IBB,HBP,BK,SO,Pitches,NumPlayers,TBF,ER
0,2030.0,X,X,,,,,,,,,,,,,,,,,,,,,,,,,
1,2029.0,X,X,,,,,,,,,,,,,,,,,,,,,,,,,
2,2028.0,X,X,,,,,,,,,,,,,,,,,,,,,,,,,
3,2027.0,X,X,,,,,,,,,,,,,,,,,,,,,,,,,
4,2026.0,X,X,,,,,,,,,,,,,,,,,,,,,,,,,
5,2025.0,X,X,,,,,,,,,,,,,,,,,,,,,,,,,
6,2023.0,X,X,,,,,,,,,,,,,,,,,,,,,,,,,
7,2022.0,X,X,,,,,,,,,,,,,,,,,,,,,,,,,
8,2021.0,X,X,,,,,,,,,,,,,,,,,,,,,,,,,
9,2020.0,X,X,26960.0,,,,,,,,,,,,,,,,,,,,,,1392.0,,
10,2019.0,X,X,22817.0,70227.0,2429.0,2428.0,4502.6500000000015,429.49999999999915,21415.0,4857.0,45.0,26.0,1180.0,687.0,43230.999999999294,42021.0,23436.0,6772.0,15876.0,753.0,1982.0,153.0,42817.0,732243.0,818.0,186461.0,21708.0
11,2018.0,X,X,21781.0,74448.0,2431.0,2429.0,4213.36,430.19999999999936,21179.0,4862.0,42.0,19.0,1244.0,632.0,43313.09999999937,41006.0,21610.0,5580.0,15671.0,928.0,1921.0,149.0,41205.0,721022.0,784.0,185094.0,20032.0
12,2017.0,X,X,20694.0,69939.0,2430.0,2429.0,3966.0300000000043,430.69999999999993,20503.0,4859.0,59.0,27.0,1179.0,603.0,43087.49999999942,42196.0,22561.0,6103.0,15817.0,970.0,1761.0,155.0,40099.0,721045.0,743.0,185247.0,20926.0
13,2016.0,X,X,20439.0,71912.70000000103,2427.0,2427.0,3807.6899999999987,430.4,20152.0,4856.0,83.0,36.0,1276.0,608.0,43139.89999999939,42272.0,21741.0,5610.0,15083.0,932.0,1651.0,148.0,38981.0,715755.0,736.0,184558.0,20158.0
14,2015.0,X,X,20265.0,74708.20000000118,2428.0,2428.0,3366.670000000002,428.49999999999915,19954.0,4858.0,104.0,51.0,1291.0,576.0,43241.39999999941,42098.0,20633.0,4906.0,14067.0,951.0,1599.0,141.0,37445.0,702199.0,725.0,183596.0,19101.0
15,2014.0,X,X,19036.0,78189.10000000107,2430.0,2430.0,3307.3100000000013,430.99999999999983,19306.0,4860.0,118.0,65.0,1264.0,549.0,43462.699999999466,41580.0,19744.0,4184.0,14013.0,985.0,1652.0,128.0,37438.0,704824.0,683.0,183893.0,18112.0
16,2013.0,X,X,18652.0,75062.70000000103,2431.0,2430.0,3081.8100000000013,430.5999999999997,19187.0,4862.0,124.0,57.0,1266.0,579.0,43499.89999999947,42085.0,20249.0,4659.0,14634.0,1018.0,1536.0,128.0,36706.0,709806.0,668.0,184846.0,18744.0
